transactionType,earnMonth,variable,bucket_id,bucket_name,earn,tenant_id
Earn 3,2019-12-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",8642367.823242188,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2019-11-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",3911974.5834960938,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2019-05-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",29624168.312885284,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2018-02-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",25986372.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2020-11-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",822646.3413085938,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2016-09-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",4972459.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2015-10-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",8750366.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2017-09-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",183242.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2017-12-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",94796.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2018-12-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",2615199.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2019-11-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",224053644.19561943,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2018-04-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",28016441.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2018-08-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",28572921.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2018-01-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",325148731.9980469,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2019-01-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",26881146.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2018-02-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",192075.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2015-12-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",455394741.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2016-10-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",12520435.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2016-02-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",595137.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2020-12-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",11982851.705444336,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2020-08-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",79976.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2016-03-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",36567.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2017-01-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",1739743.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2021-01-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",213477613.79437256,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2016-10-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",23483874.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2016-06-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",299307534.99560547,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2017-11-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",21895025.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2017-07-01,Bucket URR Rdm 3 Group,9.0,"0.7, 0.8",121400.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2017-02-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",112659.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2018-06-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",20025918.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2019-09-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",10985619.556396484,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2018-05-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",320046241.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2019-06-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",3449445.875427246,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2017-07-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",122048299.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2016-06-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",135516.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2015-08-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",268850.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2018-04-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",15319978.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 5,2018-02-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",1437751607.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2018-11-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",1910258120.6190584,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2019-01-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",20170593.05859375,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2020-06-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",4578734.502685547,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2016-10-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",22009962.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2015-12-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",431770.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2018-06-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",5754684.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2020-02-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",1867797.951660156,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2020-07-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",607058.458984375,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2018-09-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",6634335.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2020-03-01,Bucket URR Rdm 3 Group,9.0,"0.7, 0.8",846519.0317382812,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2020-09-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",72096.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2017-11-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",8671057.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2020-03-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",1701234095.7474446,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2018-07-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",2472595.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 5,2018-03-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",89494140.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2019-10-01,Bucket URR Rdm 3 Group,0.0,"-Infinity, 0.0",21456961.438100334,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2018-11-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",666762129.9968166,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2017-06-01,Bucket URR Rdm 3 Group,8.0,"0.6, 0.7",75601.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2016-09-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",23712.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2017-08-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",232632123.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2015-09-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",6954551.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2016-02-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",158337521.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2016-11-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",2143836909.9990232,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2020-09-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",7529014.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2019-05-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",67596713.02929688,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2016-09-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",20305302.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2016-05-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",19973233.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2016-07-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",11849617.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2020-09-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",115515497.89831544,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2020-08-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",10140.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2019-09-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",12158327.319458008,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2017-11-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",6040074.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 5,2016-04-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",136458.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
